CO2,b-1,b-2,b-3
-0.000527799,-0.00355201,0.002522692,-0.001934909
-0.013876251,-0.000527799,-0.00355201,0.002522692
-0.00525622,-0.013876251,-0.000527799,-0.00355201
0.000207053,-0.00525622,-0.013876251,-0.000527799
0.001540156,0.000207053,-0.00525622,-0.013876251
-0.007267286,0.001540156,0.000207053,-0.00525622
-0.000108267,-0.007267286,0.001540156,0.000207053
0.002990147,-0.000108267,-0.007267286,0.001540156
0.011335326,0.002990147,-0.000108267,-0.007267286
0.000303814,0.011335326,0.002990147,-0.000108267
-0.000985044,0.000303814,0.011335326,0.002990147
-0.00940001,-0.000985044,0.000303814,0.011335326
0,-0.00940001,-0.000985044,0.000303814
0.000248843,0,-0.00940001,-0.000985044
0.003930739,0.000248843,0,-0.00940001
0.005592176,0.003930739,0.000248843,0
0.002694289,0.005592176,0.003930739,0.000248843
0.004137072,0.002694289,0.005592176,0.003930739
-1.63E-05,0.004137072,0.002694289,0.005592176
-1.63E-05,-1.63169E-05,0.004137072,0.002694289
-0.000897461,-1.63172E-05,-1.63169E-05,0.004137072
-0.008149733,-0.000897461,-1.63172E-05,-1.63169E-05
0.002404084,-0.008149733,-0.000897461,-1.63172E-05
0.000772061,0.002404084,-0.008149733,-0.000897461
-0.000796087,0.000772061,0.002404084,-0.008149733
-0.000336758,-0.000796087,0.000772061,0.002404084
0.013228383,-0.000336758,-0.000796087,0.000772061
-0.005522308,0.013228383,-0.000336758,-0.000796087
4.89E-05,-0.005522308,0.013228383,-0.000336758
0.0006523,4.89249E-05,-0.005522308,0.013228383
0.00015482,0.0006523,4.89249E-05,-0.005522308
0.001205781,0.00015482,0.0006523,4.89249E-05
0.002424933,0.001205781,0.00015482,0.0006523
0.000787414,0.002424933,0.001205781,0.00015482
0.008476295,0.000787414,0.002424933,0.001205781
-0.001568407,0.008476295,0.000787414,0.002424933
-0.002062271,-0.001568407,0.008476295,0.000787414
-0.00833071,-0.002062271,-0.001568407,0.008476295
0.001660602,-0.00833071,-0.002062271,-0.001568407
-0.002161705,0.001660602,-0.00833071,-0.002062271
9.77E-05,-0.002161705,0.001660602,-0.00833071
0.010301555,9.77318E-05,-0.002161705,0.001660602
0.000403024,0.010301555,9.77318E-05,-0.002161705
-0.002489687,0.000403024,0.010301555,9.77318E-05
-0.004846409,-0.002489687,0.000403024,0.010301555
0.001899304,-0.004846409,-0.002489687,0.000403024
0.002859758,0.001899304,-0.004846409,-0.002489687
0.00698764,0.002859758,0.001899304,-0.004846409
0.000465284,0.00698764,0.002859758,0.001899304
0.00125889,0.000465284,0.00698764,0.002859758
0.001425483,0.00125889,0.000465284,0.00698764
0.006181626,0.001425483,0.00125889,0.000465284
0.002392287,0.006181626,0.001425483,0.00125889
0.005470893,0.002392287,0.006181626,0.001425483
0.000780683,0.005470893,0.002392287,0.006181626
0.008667491,0.000780683,0.005470893,0.002392287
